Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1cqnTEXHBulQZrwpstH4wl-zhlXGpn_2HWKnUhfvO0y4/export?format=csv&gid=1141120465

---

Date,Income,Expenditure,Net,# Transactions
2022-12-07,"120,000.00","191,300.00","-71,300.00",5
2022-12-08,0.00,"40,000.00","-40,000.00",1
2022-12-09,"1,000,000.00","210,000.00","790,000.00",4
2022-12-10,"1,500,000.00","98,000.00","1,402,000.00",5
2022-12-11,0.00,"82,000.00","-82,000.00",1
2022-12-12,0.00,"130,000.00","-130,000.00",2
2022-12-13,0.00,"237,000.00","-237,000.00",3
2022-12-14,0.00,"22,000.00","-22,000.00",2
2022-12-15,0.00,"161,500.00","-161,500.00",3
2022-12-17,0.00,"501,000.00","-501,000.00",4
2022-12-18,0.00,"60,000.00","-60,000.00",2
2022-12-19,0.00,"47,000.00","-47,000.00",2
2022-12-20,0.00,"280,000.00","-280,000.00",4
2022-12-22,0.00,"79,000.00","-79,000.00",1
2022-12-24,0.00,"96,000.00","-96,000.00",2
2022-12-26,0.00,"48,000.00","-48,000.00",3
2022-12-30,0.00,"46,000.00","-46,000.00",2
2022-12-31,0.00,"87,500.00","-87,500.00",2
2023-01-01,0.00,"181,000.00","-181,000.00",3
2023-01-02,0.00,"536,750.00","-536,750.00",4
2023-01-03,0.00,"100,500.00","-100,500.00",4
2023-01-04,0.00,"878,000.00","-878,000.00",4
2023-01-08,0.00,"20,000.00","-20,000.00",1
2023-01-09,"2,010,000.00","28,600.00","1,981,400.00",4
2023-01-10,0.00,"122,500.00","-122,500.00",4
2023-01-11,"1,500,000.00","543,300.00","956,700.00",6
2023-01-12,0.00,"95,000.00","-95,000.00",3
2023-01-13,0.00,"167,000.00","-167,000.00",3
2023-01-14,0.00,"150,345.00","-150,345.00",4
2023-01-15,0.00,"95,000.00","-95,000.00",2
2023-01-16,0.00,"185,800.00","-185,800.00",3
2023-01-17,0.00,"365,850.00","-365,850.00",5
2023-01-18,0.00,"23,500.00","-23,500.00",2
2023-01-19,0.00,"119,270.00","-119,270.00",3
2023-01-20,0.00,"39,150.00","-39,150.00",3
2023-01-21,0.00,"118,000.00","-118,000.00",4
2023-01-22,"200,000.00","128,100.00","71,900.00",6
2023-01-23,0.00,"53,000.00","-53,000.00",3
2023-01-24,0.00,"86,000.00","-86,000.00",2
2023-01-25,0.00,"7,500.00","-7,500.00",2
2023-01-26,0.00,"1,968,183.00","-1,968,183.00",8
2023-01-27,0.00,"18,400.00","-18,400.00",1
2023-01-28,0.00,"112,500.00","-112,500.00",4
2023-01-29,0.00,"28,000.00","-28,000.00",1
2023-02-01,0.00,"115,200.00","-115,200.00",2
2023-02-02,0.00,"525,225.00","-525,225.00",6
2023-02-03,"3,800,000.00","275,845.00","3,524,155.00",6
2023-02-04,0.00,"20,000.00","-20,000.00",1
2023-02-05,0.00,"225,000.00","-225,000.00",1
2023-02-07,0.00,"774,000.00","-774,000.00",5
2023-02-08,"1,000,000.00","35,300.00","964,700.00",3
2023-02-09,0.00,"5,000.00","-5,000.00",1
2023-02-10,0.00,"372,300.00","-372,300.00",6
2023-02-11,0.00,"398,000.00","-398,000.00",3
2023-02-12,0.00,"65,000.00","-65,000.00",2
2023-02-13,0.00,"145,000.00","-145,000.00",2
2023-02-15,0.00,"178,800.00","-178,800.00",4
2023-02-16,0.00,"78,000.00","-78,000.00",1
2023-02-17,0.00,"208,900.00","-208,900.00",3
2023-02-18,0.00,"341,875.00","-341,875.00",8
2023-02-19,0.00,"19,800.00","-19,800.00",1
2023-02-20,0.00,"45,200.00","-45,200.00",4
2023-02-21,0.00,"33,100.00","-33,100.00",2
2023-02-22,0.00,"52,500.00","-52,500.00",4
2023-02-25,0.00,"33,500.00","-33,500.00",2
2023-02-26,0.00,"17,690.00","-17,690.00",2
2023-02-27,0.00,"162,950.00","-162,950.00",5
2023-02-28,0.00,"96,000.00","-96,000.00",2
2023-03-03,"1,800,000.00","357,000.00","1,443,000.00",5
2023-03-04,0.00,"89,000.00","-89,000.00",4
2023-03-05,0.00,"38,000.00","-38,000.00",1
2023-03-06,"1,500,000.00","867,000.00","633,000.00",7
2023-03-07,0.00,"842,500.00","-842,500.00",2
2023-03-08,0.00,"164,200.00","-164,200.00",4
2023-03-09,0.00,"69,900.00","-69,900.00",3
2023-03-10,0.00,"203,600.00","-203,600.00",11
